V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1BR8jiOySOYUu52,Default Response Set,Anonymous,,,68.119.225.43,8,2015-09-29 06:11:19,2015-09-29 06:14:10,1,1,185,185,13,1,2,72,4,1,2,1,2,A1AQ5DP3XBQKFG,N9TT9G0AB7FQRANC,36.142501831055,-81.163497924805,-1,
R_ONYeWeWsiCWlXzP,Default Response Set,Anonymous,,,50.73.165.81,0,2015-09-29 07:50:26,2015-09-29 07:53:28,1,1,185,185,13,1,2,70,3,1,2,1,6,A1EONZ57I2Q3EI,N9TT9G0AB7FQRANC,40.317794799805,-79.717697143555,-1,
R_3CKqJBCHr57cIIX,Default Response Set,Anonymous,,,24.63.129.0,0,2015-09-29 08:11:18,2015-09-29 08:15:12,1,1,185,102,32,1,1,72,5,1,2,1,6,AICU78DCS06C6,N9TT9G0AB7FQRANC,41.37809753418,-73.469100952148,-1,
R_10DCephXR4tHEqi,Default Response Set,Anonymous,,,24.182.205.195,0,2015-09-29 08:37:44,2015-09-29 08:40:50,1,1,185,185,13,1,1,52,3,1,2,1,6,A38QU0S3LNX6RI,N9TT9G0AB7FQRANC,32.369400024414,-96.787300109863,-1,
R_29g2WLll54vEPHc,Default Response Set,Anonymous,,,96.249.220.118,0,2015-09-29 09:09:56,2015-09-29 09:11:40,1,1,185,185,13,1,2,66,3,1,2,1,6,A1T2162PMSEH0P,N9TT9G0AB7FQRANC,41.677001953125,-73.86190032959,-1,
R_2yayq4ln5z8nmSy,Default Response Set,Anonymous,,,66.168.26.134,0,2015-09-29 15:10:39,2015-09-29 15:12:42,1,1,185,185,13,1,2,73,3,1,2,1,4,A2CWB4KQ8D4MTY,N9TT9G0AB7FQRANC,43.037200927734,-89.38639831543,-1,
R_2QhMKFgvAvaAQ5B,Default Response Set,Anonymous,,,66.122.93.103,0,2015-09-29 15:24:07,2015-09-29 15:30:08,1,1,185,185,13,1,3,40,6,1,2,1,5,AH3YJUQWTH8A,N9TT9G0AB7FQRANC,41.121597290039,-118.05369567871,-1,
R_WD4e4zhNLPSAThT,Default Response Set,Anonymous,,,32.214.188.246,0,2015-09-29 15:49:02,2015-09-29 15:51:49,1,1,185,185,13,1,2,69,5,1,2,1,6,A3H0CLC0K4XE00,N9TT9G0AB7FQRANC,41.657699584961,-72.662696838379,-1,
R_3m1w8uRTKltrNbP,Default Response Set,Anonymous,,,67.176.252.199,0,2015-09-29 15:49:36,2015-09-29 15:52:33,1,1,185,185,13,1,2,63,5,1,2,1,6,A1MN31MMC6NF1O,N9TT9G0AB7FQRANC,42.10319519043,-88.069900512695,-1,
R_2Y3YAE5eP8v8X8g,Default Response Set,Anonymous,,,75.70.162.158,0,2015-09-29 15:49:38,2015-09-29 15:52:52,1,1,185,185,13,1,1,68,2,1,2,1,6,A3TQ54T1HS5JIV,N9TT9G0AB7FQRANC,38.914199829102,-104.77490234375,-1,
R_Rqu47BH4tHd7vyx,Default Response Set,Anonymous,,,67.176.252.199,8,2015-09-29 16:01:24,2015-09-29 16:09:19,1,1,185,185,13,1,2,63,5,1,2,1,6,A1MN31MMC6NF1O,N9TT9G0AB7FQRANC,42.10319519043,-88.069900512695,-1,
R_1MRQj6sedMQZ0Tn,Default Response Set,Anonymous,,,74.196.223.183,0,2015-09-29 16:58:13,2015-09-29 17:01:47,1,1,185,185,13,1,2,67,5,1,2,1,6,A3FD7G07O8P7M2,N9TT9G0AB7FQRANC,30.441604614258,-97.598602294922,-1,
R_2Xpw3h0cL50d2Us,Default Response Set,Anonymous,,,76.111.26.162,0,2015-09-29 17:01:41,2015-09-29 17:03:29,1,1,185,185,13,1,2,70,5,1,2,1,6,A2W084CDYGTALB,N9TT9G0AB7FQRANC,39.204299926758,-76.88330078125,-1,
R_3Du9xBhHf68Px3x,Default Response Set,Anonymous,,,216.98.87.217,0,2015-09-29 18:06:15,2015-09-29 18:11:05,1,1,185,185,13,1,1,70,5,1,2,1,6,A29PBD70BEE1LS,N9TT9G0AB7FQRANC,37.343994140625,-79.206398010254,-1,
R_1NajpRYIJmkdHzU,Default Response Set,Anonymous,,,70.173.200.141,0,2015-09-29 18:10:42,2015-09-29 18:14:55,1,1,185,185,13,4,1,74,3,1,2,1,3,A1BYQBC6JZYZ0L,N9TT9G0AB7FQRANC,36.151092529297,-115.110496521,-1,
R_3EhbXdyK9OT2YC1,Default Response Set,Anonymous,,,72.223.25.15,0,2015-09-29 18:26:04,2015-09-29 18:28:00,1,1,185,178,13,1,1,71,2,1,2,1,2,A4YSWVQSEVO8M,N9TT9G0AB7FQRANC,33.400100708008,-111.92900085449,-1,
R_3pbtig4k4wCxKJj,Default Response Set,Anonymous,,,99.244.160.178,0,2015-09-29 19:18:25,2015-09-29 19:22:42,1,1,33,33,13,7,2,63,3,1,2,1,3,AM14H9MAYTCLA,N9TT9G0AB7FQRANC,43.771194458008,-79.214401245117,-1,
R_2uTE2JE8GRSMNTP,Default Response Set,Anonymous,,,72.204.48.168,0,2015-09-29 20:17:49,2015-09-29 20:20:47,1,1,185,185,13,1,1,72,3,1,2,1,6,A39X3TK3K2FDOG,N9TT9G0AB7FQRANC,35.954299926758,-93.979499816895,-1,
R_2CfaSn5yj0s5SIN,Default Response Set,Anonymous,,,207.181.215.35,0,2015-09-30 01:46:31,2015-09-30 01:53:53,1,1,185,185,13,1,2,68,6,1,2,1,6,A1GGFHLS2BMWWD,N9TT9G0AB7FQRANC,41.928802490234,-87.631500244141,-1,
R_1g0D32QtuHtR8C6,Default Response Set,Anonymous,,,173.240.39.251,0,2015-09-30 02:59:25,2015-09-30 03:05:01,1,1,185,185,13,1,2,69,4,1,2,1,6,A1MDGF1ZBVLCT7,N9TT9G0AB7FQRANC,40.551193237305,-109.56960296631,-1,
R_2znz02v2BOzWONI,Default Response Set,Anonymous,,,209.58.128.140,0,2015-09-30 05:37:17,2015-09-30 05:40:19,1,1,185,185,13,1,1,70,5,1,2,1,6,A39J5O71R4UGWT,N9TT9G0AB7FQRANC,37.387405395508,-121.90240478516,-1,
R_2QVyoUZDE8lA252,Default Response Set,Anonymous,,,111.92.46.233,0,2015-09-30 06:41:17,2015-09-30 06:44:35,1,1,78,78,35,4,1,74,5,1,2,1,2,AGWB3ZV4DQI5Z,N9TT9G0AB7FQRANC,8.5068969726562,76.956909179688,-1,
R_1LhQgEW691P8kUx,Default Response Set,Anonymous,,,207.244.72.195,0,2015-09-30 07:27:55,2015-09-30 07:30:46,1,1,185,185,13,1,2,61,5,1,2,1,2,A35GA8H4BB6DTU,N9TT9G0AB7FQRANC,38.793197631836,-77.536598205566,-1,
R_1i4BoysOsZt2i0t,Default Response Set,Anonymous,,,70.120.237.39,0,2015-09-30 07:35:45,2015-09-30 07:40:08,1,1,185,185,13,3,1,62,4,1,2,1,6,ADAP5JXC5K87G,N9TT9G0AB7FQRANC,31.761703491211,-106.48580169678,-1,
R_26i64WXlRfivMGK,Default Response Set,Anonymous,,,129.3.166.241,0,2015-09-30 08:46:20,2015-09-30 08:48:13,1,1,185,185,13,1,1,75,5,1,2,1,6,A3Q0O1WXYAI32T,N9TT9G0AB7FQRANC,43.446395874023,-76.397102355957,-1,
R_2w0G3eefSM6f75O,Default Response Set,Anonymous,,,162.229.112.32,0,2015-09-30 10:02:14,2015-09-30 10:06:26,1,1,185,185,13,2,2,68,3,1,2,1,6,ATZXWS26WMPLE,N9TT9G0AB7FQRANC,29.693893432617,-95.526100158691,-1,
R_2uQIh3LCYojUq5s,Default Response Set,Anonymous,,,70.44.128.47,0,2015-09-30 11:49:14,2015-09-30 11:52:17,1,1,185,185,13,1,2,60,6,1,2,1,2, A2G7YPTMCBVJLM,N9TT9G0AB7FQRANC,41.188003540039,-75.380401611328,-1,
R_2gyeCgkmgghoC9X,Default Response Set,Anonymous,,,67.187.87.239,0,2015-09-30 12:09:47,2015-09-30 12:15:13,1,1,185,185,13,1,2,56,5,1,2,1,6,A1CPENXGW2SE8Q,N9TT9G0AB7FQRANC,35.981704711914,-84.128997802734,-1,
